time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.545000,4,1512.843,30.277,1825.467,111.945,2701.686,229.845,3488.495,1491.370,--undefined--,--undefined--
0.550000,4,1521.216,37.495,1819.075,62.924,2702.024,395.584,3467.813,1866.556,--undefined--,--undefined--
0.555000,4,1486.211,45.281,1818.739,22.669,2495.009,395.046,3683.141,1324.597,--undefined--,--undefined--
0.560000,4,1481.915,30.585,1827.299,18.919,2417.534,181.368,3538.813,969.609,--undefined--,--undefined--
0.565000,4,1488.803,20.893,1843.173,56.268,2379.676,247.960,3429.715,859.322,--undefined--,--undefined--
0.570000,4,1495.098,52.489,1784.911,117.238,2434.003,402.976,3540.230,697.725,--undefined--,--undefined--
0.575000,4,1578.642,86.296,1774.163,120.721,2492.362,590.445,3323.606,747.736,--undefined--,--undefined--
0.580000,4,1558.431,61.461,1742.667,56.875,2359.533,626.129,3184.120,344.319,--undefined--,--undefined--
0.585000,4,1608.907,45.570,1771.126,68.701,2565.116,436.814,3419.272,996.552,--undefined--,--undefined--
0.590000,4,1579.471,44.790,1728.188,50.920,2552.173,201.625,3782.513,1371.128,--undefined--,--undefined--
0.595000,4,1518.695,45.596,1677.497,77.426,2626.738,253.785,3012.539,986.133,--undefined--,--undefined--
0.600000,4,1532.074,30.933,1850.637,142.431,2674.354,2125.652,2843.905,223.118,--undefined--,--undefined--
0.605000,4,1516.367,38.180,1835.049,95.543,2590.161,1515.300,2938.715,307.377,--undefined--,--undefined--
0.610000,4,1508.124,17.264,1813.460,56.896,2778.169,593.224,3199.324,1810.937,--undefined--,--undefined--
0.615000,4,1532.343,25.586,1749.756,101.281,2627.447,613.036,4173.473,1735.336,--undefined--,--undefined--
0.620000,4,1514.240,29.270,1736.115,100.189,2633.853,536.784,3918.424,2242.470,--undefined--,--undefined--
0.625000,4,1513.736,40.401,1790.210,100.607,2723.020,471.038,3695.936,1989.147,--undefined--,--undefined--
0.630000,4,1567.704,91.339,1739.261,187.302,2641.628,472.595,3458.482,1339.962,--undefined--,--undefined--
0.635000,4,1561.069,70.254,1786.139,124.430,2657.027,307.117,4100.613,1230.329,--undefined--,--undefined--
0.640000,4,1543.692,75.780,1760.982,141.305,2610.920,409.306,3884.599,2256.420,--undefined--,--undefined--
0.645000,4,1513.952,88.638,1754.498,89.414,2824.677,399.988,4091.306,2387.810,--undefined--,--undefined--
0.650000,4,1468.684,80.716,1758.860,71.563,2977.784,237.610,3092.031,3137.897,--undefined--,--undefined--
0.655000,4,1431.662,103.393,1751.509,70.195,2906.782,2033.436,2961.592,355.654,--undefined--,--undefined--
0.660000,4,1417.633,142.332,1738.196,97.219,2567.044,885.722,3084.274,599.281,--undefined--,--undefined--
0.665000,4,1527.708,60.571,1824.811,123.903,2607.290,744.841,3442.036,1433.153,--undefined--,--undefined--
0.670000,4,1497.711,91.579,1710.326,165.995,2385.439,495.799,3643.423,1017.934,--undefined--,--undefined--
0.675000,4,1498.492,113.304,1624.938,108.121,2442.045,354.631,3879.890,857.657,--undefined--,--undefined--
0.680000,4,1454.072,135.142,1607.423,44.840,2502.893,290.521,4023.187,1016.448,--undefined--,--undefined--
0.685000,4,1505.974,94.617,1658.389,89.594,2594.459,310.943,4056.022,948.090,--undefined--,--undefined--
0.690000,4,1452.768,105.049,1663.594,61.814,2684.858,423.650,3986.719,907.289,--undefined--,--undefined--
0.695000,4,1484.638,66.775,1760.048,87.043,2782.271,462.224,4020.599,828.285,--undefined--,--undefined--
0.700000,4,1547.751,19.543,1819.291,63.555,2703.402,449.350,4078.552,421.076,--undefined--,--undefined--
0.705000,4,1511.995,27.609,1782.721,121.319,2660.118,260.086,4042.331,473.677,--undefined--,--undefined--
0.710000,4,1519.747,49.663,1738.294,118.053,2803.802,266.645,4035.508,1038.166,--undefined--,--undefined--
0.715000,4,1513.228,177.910,1658.652,72.872,2753.304,297.940,3525.323,1354.348,--undefined--,--undefined--
0.720000,4,1570.380,97.872,1683.351,112.274,2699.802,284.108,3499.468,1640.489,--undefined--,--undefined--
0.725000,4,1561.405,54.239,1807.160,65.509,2608.489,1049.926,3111.112,1034.328,--undefined--,--undefined--
0.730000,4,1525.196,150.164,1804.420,42.308,2705.693,1539.636,2990.114,938.200,--undefined--,--undefined--
0.735000,4,1555.196,174.788,1814.284,21.035,2816.660,526.346,3130.236,2332.370,--undefined--,--undefined--
0.740000,4,1596.761,133.791,1831.837,23.120,2694.000,529.748,3840.726,1713.290,--undefined--,--undefined--
0.745000,4,1588.137,149.243,1820.785,14.031,2738.099,419.886,4046.938,1613.869,--undefined--,--undefined--
0.750000,4,1599.376,74.914,1829.608,12.158,2780.509,299.154,4071.451,1428.226,--undefined--,--undefined--
0.755000,4,1574.469,59.924,1819.744,18.943,2689.223,404.965,4096.447,812.344,--undefined--,--undefined--
